--- ATL ---
Derrick White (whitede01) | curr_mins, 26.1 | prev_mins, mean: 28.813333333333333, std: 5.6490549848821825 | 2fga, mean: 5.746666666666667, std: 2.6986086950295127 | 3fga, mean: 4.92, std: 2.102443023405549 | fta, mean: 3.1333333333333333, std: 2.390722810272148 | 2fgp: (16, 15) | 3fgp: (6, 12) | ftp: (20, 4) | ast, mean: 4.88, std: 2.51374886043402 | reb, mean: 3.48, std: 2.0090462081959855 | stl, mean: 0.8533333333333334, std: 0.9756137669294248 | blk, mean: 0.7733333333333333, std: 0.8417970196087785
Malcolm Brogdon (brogdma01) | curr_mins, 22.8 | prev_mins, mean: 32.97222222222222, std: 7.613898516350474 | 2fga, mean: 9.916666666666666, std: 4.361288036043175 | 3fga, mean: 5.166666666666667, std: 2.4664414311581235 | fta, mean: 4.638888888888889, std: 3.6220986686494476 | 2fgp: (15, 14) | 3fgp: (6, 12) | ftp: (7, 2) | ast, mean: 5.888888888888889, std: 2.715979235906737 | reb, mean: 5.138888888888889, std: 2.8200943421746434 | stl, mean: 0.8333333333333334, std: 1.0137937550497031 | blk, mean: 0.3888888888888889, std: 0.6358623967921998
Sam Hauser (hausesa01) | curr_mins, 16.4 | prev_mins, mean: 5.461538461538462, std: 5.001774832925802 | 2fga, mean: 0.23076923076923078, std: 0.6389710663783135 | 3fga, mean: 1.6923076923076923, std: 1.3521842947113034 | fta, mean: 1.0, std: 1.0 | 2fgp: (3, 2) | 3fgp: (14, 18) | ftp: (4, 2) | ast, mean: 0.38461538461538464, std: 0.8355984993230935 | reb, mean: 1.1153846153846154, std: 1.2504437082314506 | stl, mean: 0.038461538461538464, std: 0.1923076923076923 | blk, mean: 0.07692307692307693, std: 0.26646935501059654
Luke Kornet (kornelu01) | curr_mins, 12.7 | prev_mins, mean: 6.4, std: 5.122499389946279 | 2fga, mean: 1.4666666666666666, std: 1.8208667044996885 | 3fga, mean: 0.3333333333333333, std: 0.47140452079103173 | fta, mean: 0.4, std: 0.879393730551528 | 2fgp: (14, 10) | 3fgp: (1, 2) | ftp: (3, 2) | ast, mean: 0.6, std: 0.7118052168020874 | reb, mean: 1.9333333333333333, std: 2.1437246921084703 | stl, mean: 0.2, std: 0.4000000000000001 | blk, mean: 0.2, std: 0.4
Blake Griffin (griffbl01) | curr_mins, 11.1 | prev_mins, mean: 16.625, std: 7.670822501996957 | 2fga, mean: 3.0, std: 2.3528098702858005 | 3fga, mean: 2.5892857142857144, std: 2.1362248553588783 | fta, mean: 1.3571428571428572, std: 1.6303874586447609 | 2fgp: (14, 11) | 3fgp: (6, 15) | ftp: (22, 9) | ast, mean: 1.875, std: 1.7429705759339222 | reb, mean: 4.071428571428571, std: 2.404290382815262 | stl, mean: 0.48214285714285715, std: 0.681151111527166 | blk, mean: 0.25, std: 0.57476703355111
Noah Vonleh (vonleno01) | curr_mins, 10.6 | prev_mins, mean: 2.25, std: 0.82915619758885 | 2fga, mean: 1.4166666666666667, std: 1.2555432644432802 | 3fga, mean: 0.16666666666666666, std: 0.372677996249965 | fta, mean: 0.16666666666666666, std: 0.5527707983925666 | 2fgp: (10, 9) | 3fgp: (2, 2) | ftp: (2, 1) | ast, mean: 0.25, std: 0.4330127018922193 | reb, mean: 0.25, std: 0.4330127018922193 | stl, mean: 1.0, std: 1.0 | blk, mean: 1.0, std: 1.0
Payton Pritchard (pritcpa01) | curr_mins, 11.4 | prev_mins, mean: 13.619718309859154, std: 8.23487293860791 | 2fga, mean: 1.8028169014084507, std: 1.7411322065946349 | 3fga, mean: 3.4507042253521125, std: 2.777113368048959 | fta, mean: 0.29577464788732394, std: 0.7942463199927711 | 2fgp: (7, 8) | 3fgp: (8, 11) | ftp: (2, 1) | ast, mean: 1.9577464788732395, std: 1.8265384772751092 | reb, mean: 1.8873239436619718, std: 1.8196834252968126 | stl, mean: 0.352112676056338, std: 0.5837854021426113 | blk, mean: 0.08450704225352113, std: 0.2781467275793169
Justin Jackson (jacksju01) | curr_mins, 6.3 | prev_mins, mean: 4.714285714285714, std: 3.4106675389466634 | 2fga, mean: 0.8571428571428571, std: 0.6388765649999398 | 3fga, mean: 1.2857142857142858, std: 1.1605769149479943 | fta, mean: 0.2857142857142857, std: 0.6998542122237653 | 2fgp: (2, 3) | 3fgp: (2, 3) | ftp: (2, 1) | ast, mean: 0.2857142857142857, std: 0.6998542122237652 | reb, mean: 1.0, std: 0.9258200997725514 | stl, mean: 1.0, std: 1.0 | blk, mean: 1.0, std: 1.0
JD Davison (davisjd01) | curr_mins, 3.0 | prev_mins, mean: 2.5, std: 0.5 | 2fga, mean: 0.0, std: 2.0 | 3fga, mean: 1.0, std: 1.0 | fta, mean: 1.0, std: 1.0 | 2fgp: (4, 5) | 3fgp: (1, 2) | ftp: (4, 2) | ast, mean: 0.5, std: 0.5 | reb, mean: 0.5, std: 0.5 | stl, mean: 1.0, std: 1.0 | blk, mean: 1.0, std: 1.0
--- BRK ---
